timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574596238089,271,Add persons from CSV,200,OK,SetUp 1-1,text,true,,186,213,1,1,http://localhost:8080/api/person,269,0,36
1574596238362,6,Add persons from CSV,200,OK,SetUp 1-1,text,true,,187,214,1,1,http://localhost:8080/api/person,6,0,0
1574596238369,3,Add persons from CSV,200,OK,SetUp 1-1,text,true,,188,215,1,1,http://localhost:8080/api/person,3,0,0
1574596238373,4,Add persons from CSV,200,OK,SetUp 1-1,text,true,,187,214,1,1,http://localhost:8080/api/person,4,0,0
1574596238378,3,Add persons from CSV,200,OK,SetUp 1-1,text,true,,190,217,1,1,http://localhost:8080/api/person,3,0,0
1574596238382,4,Add persons from CSV,200,OK,SetUp 1-1,text,true,,188,215,1,1,http://localhost:8080/api/person,4,0,0
1574596238387,3,Add persons from CSV,200,OK,SetUp 1-1,text,true,,186,213,1,1,http://localhost:8080/api/person,3,0,0
1574596238390,3,Add persons from CSV,200,OK,SetUp 1-1,text,true,,187,214,1,1,http://localhost:8080/api/person,3,0,0
1574596238449,17,GetAllPersons,200,OK,Thread Group 1-1,text,true,,480,123,1,2,http://localhost:8080/api/persons,17,0,0
1574596238466,6,DeleteAllPersons,200,OK,Thread Group 1-1,,true,,100,209,1,2,http://localhost:8080/api/persons,6,0,0
1574596238472,3,GetAllPersons,200,OK,Thread Group 1-1,text,true,,153,123,1,2,http://localhost:8080/api/persons,3,0,0
1574596238476,3,CreatePerson - Adam 2001,200,OK,Thread Group 1-1,text,true,,185,211,1,2,http://localhost:8080/api/person,3,0,0
1574596238480,2,GetAllPersons,200,OK,Thread Group 1-1,text,true,,187,123,1,2,http://localhost:8080/api/persons,2,0,0
1574596238483,3,CreatePerson - Adam 2002,200,OK,Thread Group 1-1,text,true,,186,211,1,2,http://localhost:8080/api/person,3,0,0
1574596238486,3,GetAllPersons,200,OK,Thread Group 1-1,text,true,,222,123,1,2,http://localhost:8080/api/persons,3,0,0
1574596238490,3,UpdatePerson - id,200,OK,Thread Group 1-1,text,true,,187,223,1,2,http://localhost:8080/api/person,3,0,0
1574596238494,2,GetAllPersons,200,OK,Thread Group 1-1,text,true,,223,123,1,2,http://localhost:8080/api/persons,2,0,0
1574596238448,1333,Select-Id,200,OK,Select from DB 2-1,text,true,,8,0,1,1,null,1330,0,1322
1574596239785,17,SelectPerson,200,OK,Select from DB 2-1,text,true,,185,124,1,1,http://localhost:8080/api/person/9,17,0,2
1574596239802,3,SelectPerson,200,OK,Select from DB 2-1,text,true,,187,125,1,1,http://localhost:8080/api/person/10,3,0,0
1574596239806,2,GetAllPersons,200,OK,Select from DB 2-1,text,true,,223,123,1,1,http://localhost:8080/api/persons,2,0,0
1574596239809,5,DeletePerson,200,OK,Select from DB 2-1,text,true,,152,210,1,1,http://localhost:8080/api/person/9,5,0,0
1574596239814,4,DeletePerson,200,OK,Select from DB 2-1,text,true,,152,211,1,1,http://localhost:8080/api/person/10,4,0,0
1574596239818,2,GetAllPersons,200,OK,Select from DB 2-1,text,true,,153,123,1,1,http://localhost:8080/api/persons,2,0,0
